iter,primal_feasibility,dual_feasibility,optimality_gap,inner_iter_predictor,inner_iter_corrector,krylov_tol,rank,construct_precond_elapsed,CG_solving_elapsed,cumulative_time,rho,delta
0,1.9071691886616403e6,436936.86772343173,34254.115542162894,0,0,0.0,0,0.0,0.0,0.0,8.0,8.0
1,9535.884553355954,2184.699676863291,3047.8009008425975,6,6,1.0e-6,20,15.176354597,10.18446801,26.915213966,0.7118095685970589,0.7118095685970589
2,45.189805911012975,33.05655362426554,437.7004385550161,10,10,1.0e-6,20,9.52721585,17.35497962,55.416484705,0.10222431532730886,0.10222431532730886
3,9.140500311907891,9404.061769799897,86.83880872852964,20,22,1.0e-6,20,7.744128,33.778445124,97.743231396,0.047650120836299006,0.020281080355822594
4,0.3168977533471759,10222.04792492513,21.185549831676894,78,78,1.0e-6,20,8.321807711,120.98206851500001,227.80188819399999,0.023657335584548876,0.004947855052476812
5,0.07247619337986501,878.1143964197457,3.04216887189172,68,65,1.0e-6,20,7.743816185,104.988969758,341.363600922,0.0033971084290482277,0.000710494216240301
6,0.0025744346381317363,15.634673739619224,0.17095870625775714,117,115,1.0e-6,20,7.942410225,179.416279061,529.497063175,0.00019090500445699085,3.992716286539681e-5
7,0.0008963743079035383,0.07817351722351724,0.025569175452564645,68,54,1.0e-6,20,7.743176283,95.60070305299999,633.659518729,2.8552412805311293e-5,5.971644585852335e-6
8,7.644738637569153e-5,0.000390943526424464,0.00459767390529759,74,80,1.0e-6,20,8.102243283,120.286436658,762.9024567739999,5.13409920205688e-6,1.0737802059757486e-6
9,3.4396089755780696e-5,2.143873562606337,0.0006059260474248337,110,108,1.0e-6,20,8.335012468,170.87115395799998,942.9543566729999,2.1654189688002922e-6,1.4151316718226368e-7
10,0.00011174226080234973,11.629270986545382,0.00035634767867208795,99,98,1.0e-6,20,8.20107664,155.89659209500002,1107.916402247,1.5713956613245218e-6,1.0269291076437846e-7
11,1.4318456435420032e-5,3.4850156314069776,7.10878257812874e-5,84,90,1.0e-6,20,8.463607828,136.91501482799998,1254.055762036,3.1347784114093154e-7,2.0486216653901953e-8
12,4.931546029682704e-6,0.01742507815702996,4.249598871130062e-6,101,116,1.0e-6,20,8.095250851,170.940377168,1433.859495471,1.8739567080520516e-8,1.2246569958968149e-9
13,8.96952230077537e-6,0.0010659991237451443,3.1853672406306435e-8,140,142,1.0e-6,20,7.726317435,220.487566636,1662.8499474559999,5.0e-10,5.0e-10
14,1.6204733593523174e-5,5.330109207986142e-6,1.5924793371155985e-10,58,71,1.0e-6,20,7.585210835,102.61650467999999,1773.911644971,5.0e-10,5.0e-10
15,1.2112301528094537e-6,2.665054550489147e-8,7.962759739531465e-13,187,9,1.0e-6,20,8.259074228,154.740720795,1937.732831146,5.0e-10,5.0e-10
16,2.1737355884286888e-8,1.3325312458281174e-10,3.9814794967312675e-15,223,1,1.0e-6,20,7.874598563,178.58324294,2124.969944036,5.0e-10,5.0e-10
17,1.0595665606204479e-10,6.697843473301315e-13,1.9907892681436375e-17,80,0,1.0e-6,20,7.976785502,63.071591530999996,2196.792414206,5.0e-10,5.0e-10
