iter,primal_feasibility,dual_feasibility,optimality_gap,inner_iter_predictor,inner_iter_corrector,krylov_tol,rank,construct_precond_elapsed,CG_solving_elapsed,cumulative_time,rho,delta
0,1.9071691886616403e6,436936.86772343173,34254.115542162894,0,0,0.0,0,0.0,0.0,0.0,8.0,8.0
1,9535.848361823244,2184.699676871445,3047.800900844383,3,3,1.0e-6,20,804.954013386,5.273075073,815.386861062,0.7118095685974763,0.7118095685974763
2,47.75151699863374,33.05658790000183,437.7004388252541,3,3,1.0e-6,20,782.257427448,4.5682326589999995,1603.414081714,0.10222431539042251,0.10222431539042251
3,0.9679058932627465,9404.206320872616,86.83913991908122,7,6,1.0e-6,20,1038.485190009,8.880049997,2651.388753581,0.04765017237186798,0.020281157704905198
4,0.3082715082964497,10221.952773562678,21.18559779292732,10,11,1.0e-6,20,1085.190593481,12.85400546,3749.9722673819997,0.02365734917065557,0.004947866253758684
5,0.07227495964798095,878.1505073550616,3.0421834199121323,6,6,1.0e-6,20,831.50698513,8.598275356,4590.694873357,0.0033971189347353284,0.000710497613909792
6,0.002165972428275479,15.641508817978913,0.1709608265721383,4,3,1.0e-6,20,675.519907695,4.997637146000001,5271.770485292,0.00019090704960287645,3.992765806180693e-5
7,0.0009007030160081725,0.07820769255191011,0.025569506899541287,3,3,1.0e-6,20,645.135463986,4.333408566,5921.772491627,2.8552734681193622e-5,5.971721994822644e-6
8,8.177217027216932e-5,0.0003911143750619097,0.00459775660443454,3,3,1.0e-6,20,630.511736264,4.293577623,6557.128718563,5.134182875363944e-6,1.073799520241643e-6
9,6.865024867606152e-5,2.14381825926421,0.0006059281656890794,3,3,1.0e-6,20,636.112020125,4.526686972,7198.329741718,2.1654477296715606e-6,1.415136618998674e-7
10,1.7796712331289832e-6,11.629141326865836,0.0003563460793843624,4,4,1.0e-6,20,623.405430681,6.091988167,7828.5196974830005,1.5714097608538363e-6,8.322412037076035e-8
11,0.0013272909812832776,3.484936321562079,7.108659849939668e-5,3,4,1.0e-6,20,625.055418294,4.88897571,8459.007678042,3.134766487141871e-7,3.885390411793316e-8
12,0.00014843166024393006,0.017424681607804922,4.249230498710469e-6,3,3,1.0e-6,20,626.47741636,4.053110839,9090.04907452,1.873819488438707e-8,2.3225080093443375e-9
13,3.166270720775326e-6,0.001065737520855717,3.184943221057591e-8,3,3,1.0e-6,20,635.526697599,5.669870327,9731.849857473,5.0e-10,5.0e-10
14,1.7499488959064823e-7,5.328687604646539e-6,1.5922950187582123e-10,3,1,1.0e-6,20,639.362137194,4.234299104,10375.987275471,5.0e-10,5.0e-10
15,2.3972556423750406e-7,2.6643438914440107e-8,7.961846652926604e-13,2,0,1.0e-6,20,624.795035502,2.217274786,11003.559507828999,5.0e-10,5.0e-10
16,4.093481545566198e-9,1.3321639114402227e-10,3.981022674023092e-15,1,0,1.0e-6,20,627.018868577,1.623624428,11632.744355211998,5.0e-10,5.0e-10
