Preconditioner,rank,IPPMM_time,TotalElapsedConstructPrecond,TotalElapsedCGsolving
Nystrom,50,11.8576442594,0.4847183317999999,11.3387396848
Nystrom,100,9.752374284999998,0.9369459708000001,8.783492758200001
Nystrom,200,8.742030169200001,1.9811004302000002,6.7288597586000005
Nystrom,300,8.932289881600003,3.3681312831999994,5.5317107514
Nystrom,400,8.8256798016,4.0852726939999995,4.7006561388
Nystrom,500,9.566599243799999,5.2111057552,4.321841276799999
Nystrom,600,11.555665791800001,7.154573442,4.364268754399999
Nystrom,700,13.479696214199999,8.741611550200002,4.696955501000001
Nystrom,800,15.677129960799999,10.105541697400001,5.5301439942
Nystrom,900,16.7932933196,11.935110498799999,4.805532598399999
PartialCholesky,50,449.9449724720001,49.8759546172,399.3332429832
PartialCholesky,100,586.4201276646,56.9689246056,528.7105204116
PartialCholesky,200,771.7102745743999,62.035695866800005,708.8599885105999
PartialCholesky,300,904.5473820448,72.3956418742,831.4316827805999
PartialCholesky,400,1005.0844395018,82.3170416762,922.0739267335999
PartialCholesky,500,1087.2441494272,89.21287150840001,997.3638312678
PartialCholesky,600,1157.1077230734,97.95899238879998,1058.4762085690002
PartialCholesky,700,1239.9873496881999,107.51585514899998,1131.6698605427998
PartialCholesky,800,1292.7129535028002,117.390872769,1174.5128261106001
PartialCholesky,900,1333.3636824374,128.7324218992,1203.8655460010002
