Preconditioner,rank,IPPMM_time,TotalElapsedConstructPrecond,TotalElapsedCGsolving
PartialCholesky,50,1891.0041121499999,914.0541017353335,976.7678036040002
PartialCholesky,100,1857.571669439,887.9392790806666,969.4555700506667
PartialCholesky,200,1760.2274167389999,687.2246745383333,1072.779841333
PartialCholesky,300,1781.3847630250002,632.5845540416666,1148.655114932
PartialCholesky,400,1907.5685152716667,674.6075140323334,1232.8135571146668
PartialCholesky,500,2149.63178853,850.976743645,1298.5050967633333
PartialCholesky,600,2465.3153143423333,1117.347382876,1347.8146658193334
PartialCholesky,700,3140.8362122423337,1617.5515696953335,1523.0991237463331
PartialCholesky,800,3318.9091307136673,1774.4516258633332,1544.274588116
PartialCholesky,900,3294.768059277667,1782.6617968143335,1511.9351686016664
PartialCholesky,1000,3231.745796067,1707.8175686653333,1523.7579387746666
PartialCholesky,1200,3530.522417066,1948.2323087233337,1582.0985079260001
Nystrom,50,54.33152486833333,2.2006755323333334,52.004686951
Nystrom,100,45.54610283333333,4.468559115666666,40.95892992233333
Nystrom,200,39.59957117533333,8.588468509333334,30.890803191666674
Nystrom,300,36.16025900066666,12.229263991333333,23.817186605333337
Nystrom,400,39.15222355666666,17.375459119333335,21.625089584333335
Nystrom,500,36.078733403,19.285024179666664,16.689541585333334
Nystrom,600,38.96177478233333,23.244027599666666,15.607591979333334
Nystrom,700,42.011520415,27.499691938,14.405856260666667
Nystrom,800,51.766439975999994,35.93475997066667,15.720782142
Nystrom,900,52.001973267333334,39.65244843366667,12.238465475333333
Nystrom,1000,49.71747081033334,38.71764378433334,10.890086810333335
Nystrom,1200,57.03268306333334,46.42669128400001,10.501261877666666
