Preconditioner,rank,IPPMM_time,TotalElapsedConstructPrecond,TotalElapsedCGsolving
Nystrom,50,11.85850349375,0.5008281982499999,11.32290334475
Nystrom,100,9.8458170095,0.9454072920000001,8.867762253750001
Nystrom,200,8.74922292325,1.9995673885,6.71815115575
Nystrom,300,8.869358972250001,3.3635708192499996,5.47354619825
Nystrom,400,8.594350848000001,4.09174855675,4.461777771
Nystrom,500,9.603571526,5.23768376375,4.332168143
Nystrom,600,11.5964208015,7.149561628750001,4.410039761999999
Nystrom,700,13.550381221999999,8.71051962175,4.79741423
Nystrom,800,15.8240128515,10.056619216000001,5.7247490572499995
Nystrom,900,16.86231540575,11.846281952499998,4.97047733
PartialCholesky,50,452.96715625600007,49.742997937,402.49299115400004
PartialCholesky,100,588.3138511355,56.3899416395,531.18943991625
PartialCholesky,200,777.85316798975,61.396763275000005,715.6679431182499
PartialCholesky,300,909.7246119255001,71.48830917525,837.4952993504999
PartialCholesky,400,1010.08155121,79.689729442,929.74536426125
PartialCholesky,500,1087.788027843,88.37841240425,998.74082759575
PartialCholesky,600,1162.72431084025,98.67519123249998,1063.37287326175
PartialCholesky,700,1244.70133080175,106.81032348724999,1137.095418079
PartialCholesky,800,1298.3524451570001,116.82139419225,1180.74221333175
PartialCholesky,900,1330.33947152475,128.90897539475,1200.6641524667502
